App Name,App Size,App Review,App Category,App Rating,App Installs,App Type,App Content Rating,App Genres,Last Updated,Current App Version,Android Version,Average Sentiment Polarity,Average Sentiment Subjectivity
Agario,32,3816799,GAME,4.2,100000000,Free,Everyone,Action,23/07/2018,2.2.8,4.0.3 and up,-0.060602233,0.459730487
Agario,32,3815614,GAME,4.2,100000000,Free,Everyone,Action,23/07/2018,2.2.8,4.0.3 and up,-0.060602233,0.459730487
High Blood Pressure Symptoms,2.3,531,MEDICAL,4,100000,Free,Everyone,Medical,18/01/2015,1,3.0 and up,0.419533596,0.566358859
High Blood Pressure Symptoms,2,46,MEDICAL,4.3,10000,Free,Everyone,Medical,05/04/2017,1.0.2,4.0.3 and up,0.419533596,0.566358859
Groupon Shop Deals Discounts Coupons,15.9,1370749,SHOPPING,4.6,50000000,Free,Teen,Shopping,03/08/2018,Varies with device,Varies with device,0.285940735,0.471191820
Groupon Shop Deals Discounts Coupons,15.9,1371082,SHOPPING,4.6,50000000,Free,Teen,Shopping,03/08/2018,Varies with device,Varies with device,0.285940735,0.471191820
Hello Stars,31,101686,GAME,4.6,10000000,Free,Everyone,Puzzle,04/08/2018,1.8.2,4.1 and up,0.168330372,0.496420872
Goibibo Flight Hotel Bus Car IRCTC Booking App,24.52,459851,TRAVEL_AND_LOCAL,4.3,10000000,Free,Everyone,Travel & Local,01/08/2018,3.9.7,4.3 and up,0.412730374,0.564948387
HBO GO Stream with TV Package,32,87723,ENTERTAINMENT,3.8,10000000,Free,Teen,Entertainment,19/07/2018,16.0.0.437,4.1 and up,-0.055652712,0.521606035
HBO GO Stream with TV Package,32,87734,FAMILY,3.8,10000000,Free,Teen,Entertainment,19/07/2018,16.0.0.437,4.1 and up,-0.055652712,0.521606035
Amazon for Tablets,22,141584,SHOPPING,4,10000000,Free,Teen,Shopping,31/07/2018,16.14.0.850,4.4 and up,0.101136048,0.371190657
Amazon for Tablets,22,141613,SHOPPING,4,10000000,Free,Teen,Shopping,31/07/2018,16.14.0.850,4.4 and up,0.101136048,0.371190657
Crunchyroll Everything Anime,22.64,310066,ENTERTAINMENT,3.7,10000000,Free,Teen,Entertainment,05/03/2018,Varies with device,Varies with device,0.177510033,0.444899624
Crunchyroll Everything Anime,22.64,310095,ENTERTAINMENT,3.7,10000000,Free,Teen,Entertainment,05/03/2018,Varies with device,Varies with device,0.177510033,0.444899624
Boys Photo Editor Six Pack Mens Suit,12,654,ART_AND_DESIGN,4.1,100000,Free,Everyone,Art & Design,20/03/2018,1.1,4.0.3 and up,0.283508772,0.479298246
FREEDOME VPN Unlimited anonymous Wifi Security,9.9,39833,TOOLS,4.3,1000000,Free,Everyone,Tools,09/07/2018,2.5.1.7592,4.0.3 and up,0.313636364,0.347727273
Banorte Movil,65,111632,FINANCE,4.1,1000000,Free,Everyone,Finance,09/06/2018,5.10.1.40699,4.4 and up,0.116998668,0.567311952
ConnectLine,4.2,253,MEDICAL,3.1,50000,Free,Everyone,Medical,12/09/2016,1.3.4,2.3.3 and up,0.138011629,0.450320327
Gametime Tickets to Sports Concerts Theater,24,8800,EVENTS,4.5,1000000,Free,Everyone,Events,17/07/2018,11.1.1,5.0 and up,0.379740097,0.570218158
Dungeon Hunter Champions Epic Online Action RPG,44.13,26247,GAME,4.2,1000000,Free,Teen,Role Playing,26/07/2018,1.1.40,4.0.3 and up,-0.034255808,0.488278252
Dungeon Hunter Champions Epic Online Action RPG,27.93,26307,FAMILY,4.2,1000000,Free,Teen,Role Playing,26/07/2018,1.1.40,4.0.3 and up,-0.034255808,0.488278252
Dailyhunt Newshunt Latest News Viral Videos,12.65,948198,NEWS_AND_MAGAZINES,4.3,50000000,Free,Teen,News & Magazines,19/07/2018,Varies with device,Varies with device,-0.066145833,0.554166667
Buzz LauncherSmartFree Theme,13,251616,PERSONALIZATION,4.4,10000000,Free,Everyone,Personalization,13/11/2017,1.9.7.07,4.0.3 and up,0.201344844,0.577622569
HotelTonight Book amazing deals at great hotels,24.52,57573,TRAVEL_AND_LOCAL,4.4,5000000,Free,Everyone,Travel & Local,31/07/2018,Varies with device,Varies with device,0.328908058,0.554483976
HotelTonight Book amazing deals at great hotels,24.52,57556,TRAVEL_AND_LOCAL,4.4,5000000,Free,Everyone,Travel & Local,31/07/2018,Varies with device,Varies with device,0.328908058,0.554483976
Dream League Soccer 2018,74,9882639,GAME,4.6,100000000,Free,Everyone,Sports,16/07/2018,5.064,4.4 and up,-0.000518078,0.483123898
Dream League Soccer 2018,74,9873470,SPORTS,4.6,100000000,Free,Everyone,Sports,16/07/2018,5.064,4.4 and up,-0.000518078,0.483123898
Dream League Soccer 2018,74,9883806,GAME,4.6,100000000,Free,Everyone,Sports,16/07/2018,5.064,4.4 and up,-0.000518078,0.483123898
HD Movie Video Player,4.1,18699,VIDEO_PLAYERS,4.5,1000000,Free,Everyone,Video Players & Editors,27/03/2018,1,4.0.3 and up,0.186015331,0.574268094
Honkai Impact 3rd,82,59017,GAME,4.7,1000000,Free,Teen,Action,03/07/2018,2.2.1,4.3 and up,0.101482980,0.523547141
Airbnb,24.52,359560,TRAVEL_AND_LOCAL,4.4,10000000,Free,Everyone,Travel & Local,02/08/2018,Varies with device,Varies with device,0.108004540,0.494907953
Airbnb,24.52,359403,TRAVEL_AND_LOCAL,4.4,10000000,Free,Everyone,Travel & Local,02/08/2018,Varies with device,Varies with device,0.108004540,0.494907953
Episode Choose Your Story,27.93,1842381,FAMILY,4.3,50000000,Free,Teen,Simulation,31/07/2018,Varies with device,Varies with device,0.080273774,0.481147147
Episode Choose Your Story,44.13,1841061,GAME,4.3,50000000,Free,Teen,Simulation,31/07/2018,Varies with device,Varies with device,0.080273774,0.481147147
All Language Translator Free,2.1,30105,BOOKS_AND_REFERENCE,4.4,1000000,Free,Everyone,Books & Reference,29/07/2018,1.15,4.0.3 and up,0.392783550,0.555032468
Free live weather on screen,21,15370,WEATHER,4.4,1000000,Free,Everyone,Weather,02/08/2018,12.2.6.3660,4.1 and up,0.394258611,0.519715957
Dude Perfect 2,70,401648,GAME,4.5,10000000,Free,Everyone,Action,12/04/2017,1.6.1,4.0.3 and up,0.116902356,0.535796628
Dude Perfect 2,70,401425,GAME,4.5,10000000,Free,Everyone,Action,12/04/2017,1.6.1,4.0.3 and up,0.116902356,0.535796628
Goal Live Scores,35,232423,SPORTS,4.4,5000000,Free,Everyone,Sports,11/06/2018,4.2.2,4.0.3 and up,0.176929058,0.513837139
GPS Status Toolbox,4.1,149723,TRAVEL_AND_LOCAL,4.5,10000000,Free,Everyone,Travel & Local,13/06/2018,8.1.171,4.0 and up,0.398073696,0.402682540
Fly Delta,46,27560,TRAVEL_AND_LOCAL,3.7,5000000,Free,Everyone,Travel & Local,31/07/2018,4.13.2,5.0 and up,0.143252371,0.462260117
ASUS Sound Recorder,8.77,34126,TOOLS,4.5,10000000,Free,Everyone,Tools,13/07/2018,Varies with device,Varies with device,0.516770833,0.595297619
Cheap hotel deals and discounts Hotellook,24.52,7153,TRAVEL_AND_LOCAL,4.5,1000000,Free,Everyone,Travel & Local,30/07/2018,Varies with device,Varies with device,0.256417379,0.487008547
Dresses Ideas Fashions 3000,8.2,473,BEAUTY,4.5,100000,Free,Mature 17+,Beauty,01/03/2017,1.0.2.0,1.6 and up,0.430603448,0.557466703
HTC File Manager,12.87,13500,PRODUCTIVITY,4.2,10000000,Free,Everyone,Productivity,11/12/2017,Varies with device,Varies with device,0.088949014,0.261050986
ATT Navigator Maps Traffic,14,32862,TRAVEL_AND_LOCAL,3.6,10000000,Free,Everyone,Travel & Local,06/12/2016,5.10.6.2.8466393,4.1 and up,0.071300965,0.412184104
GoBank,12,5950,FINANCE,4.4,500000,Free,Everyone,Finance,01/06/2018,2.131,4.1 and up,0.039100828,0.530302058
Dr Panda Totos Treehouse,9.5,3396,FAMILY,4.4,50000,Paid,Everyone,Casual;Pretend Play,09/12/2014,1.8,4.0 and up,0.180236683,0.532672254
Dr Panda Totos Treehouse,9.5,3397,FAMILY,4.4,50000,Paid,Everyone,Casual;Pretend Play,09/12/2014,1.8,4.0 and up,0.180236683,0.532672254
Flippy Campus Buy sell on campus at a discount,7.4,889,EDUCATION,4,500000,Free,Everyone,Education,09/03/2018,2.2.4,4.2 and up,0.395283932,0.492484721
Dating App Flirt Chat WMatch,16.88,175722,SOCIAL,4.3,10000000,Free,Mature 17+,Social,23/07/2018,Varies with device,Varies with device,0.301666667,0.435555555
Dating App Flirt Chat WMatch,16.88,175523,SOCIAL,4.3,10000000,Free,Mature 17+,Social,23/07/2018,Varies with device,Varies with device,0.301666667,0.435555555
Family GPS Tracker and Chat Baby Monitor Online,22.51,9073,PARENTING,4.4,500000,Free,Everyone,Parenting,02/08/2018,Varies with device,4.2 and up,0.417435114,0.547518233
Flashlight LED Torch,8.77,111507,TOOLS,4.3,10000000,Free,Everyone,Tools,29/12/2017,Varies with device,Varies with device,0.249733333,0.258177778
Dog Run Pet Dog Simulator,24,48701,FAMILY,4.7,10000000,Free,Everyone,Simulation;Action & Adventure,22/05/2018,1.4.12,4.1 and up,0.137098554,0.506788432
Dog Run Pet Dog Simulator,24,48615,FAMILY,4.7,10000000,Free,Everyone,Simulation;Action & Adventure,22/05/2018,1.4.12,4.1 and up,0.137098554,0.506788432
Dog Run Pet Dog Simulator,24,48615,GAME,4.7,10000000,Free,Everyone,Simulation;Action & Adventure,22/05/2018,1.4.12,4.1 and up,0.137098554,0.506788432
Baritastic Bariatric Tracker,12,4318,MEDICAL,4.7,100000,Free,Everyone,Medical,26/07/2018,1.3.185,4.1 and up,0.418276737,0.571031493
Hole19 Golf GPS App Rangefinder Scorecard,24.18,6106,SPORTS,4.4,100000,Free,Everyone,Sports,01/08/2018,Varies with device,Varies with device,0.443638262,0.606864035
Food Calorie Calculator,4,1324,HEALTH_AND_FITNESS,4.2,100000,Free,Everyone,Health & Fitness,29/01/2018,10.2.0,4.0 and up,0.097972803,0.449876113
Anime Avatar Creator Make Your Own Avatar,36,10944,LIFESTYLE,4.2,1000000,Free,Everyone,Lifestyle,15/06/2018,2,4.1 and up,0.202157715,0.593198291
BioLife Plasma Services,23,250,MEDICAL,3.5,100000,Free,Everyone,Medical,09/07/2018,1.2.0,4.4 and up,0.154806166,0.457703850
11st,20,48732,SHOPPING,3.8,10000000,Free,Everyone,Shopping,31/07/2018,7.8.1,4.0 and up,0.181294214,0.443956935
Canvas Student,20.08,42828,EDUCATION,4.5,1000000,Free,Everyone,Education,20/07/2018,Varies with device,Varies with device,0.125,0.3875
Diary with lock,4.4,815893,LIFESTYLE,4.6,10000000,Free,Everyone,Lifestyle,30/06/2018,4.9,4.1 and up,0.283763341,0.568277521
Diary with lock,4.4,815280,LIFESTYLE,4.6,10000000,Free,Everyone,Lifestyle,30/06/2018,4.9,4.1 and up,0.283763341,0.568277521
H TV,5.6,103064,FAMILY,4.3,5000000,Free,Everyone,Entertainment,05/07/2018,4.6.2,2.3.3 and up,0.302115385,0.408504273
H TV,5.6,103078,ENTERTAINMENT,4.3,5000000,Free,Everyone,Entertainment,05/07/2018,4.6.2,2.3.3 and up,0.302115385,0.408504273
Checkers,19,3617,FAMILY,4.1,1000000,Free,Everyone,Board;Brain Games,24/07/2018,4.0.2,4.1 and up,0.064834681,0.440567581
Checkers,3.3,375996,GAME,4.5,10000000,Free,Everyone,Board,06/08/2018,1.48.0,4.1 and up,0.064834681,0.440567581
Color Flashlight,8.77,472904,TOOLS,4.2,50000000,Free,Everyone,Tools,14/12/2017,Varies with device,Varies with device,0.175833333,0.526489899
HTC Speak,13,6145,LIFESTYLE,3.5,10000000,Free,Everyone,Lifestyle,30/06/2016,8.00.775375,5.0 and up,0.004105721,0.334344144
Bubble Shooter 2,44.13,23005,GAME,4.3,5000000,Free,Everyone,Arcade,25/07/2018,3.5,4.1 and up,0.284848485,0.523484848
Bubble Shooter 2,44.13,23043,GAME,4.3,5000000,Free,Everyone,Arcade,25/07/2018,3.5,4.1 and up,0.284848485,0.523484848
DisneyNOW TV Shows Games,27.93,82471,FAMILY,4.3,5000000,Free,Everyone,Entertainment;Music & Video,05/07/2018,Varies with device,4.4 and up,0.203991959,0.535116219
DisneyNOW TV Shows Games,27.93,82499,FAMILY,4.3,5000000,Free,Everyone,Entertainment;Music & Video,05/07/2018,Varies with device,4.4 and up,0.203991959,0.535116219
Fast News,12.65,84957,NEWS_AND_MAGAZINES,4.4,1000000,Free,Everyone 10+,News & Magazines,13/01/2018,Varies with device,Varies with device,0.346303419,0.604201262
FBReader Favorite Book Reader,13.19,203130,BOOKS_AND_REFERENCE,4.5,10000000,Free,Everyone,Books & Reference,28/06/2018,Varies with device,Varies with device,0.277704811,0.472448734
Cookbook Recipes,22.06,46539,FOOD_AND_DRINK,4.1,5000000,Free,Teen,Food & Drink,23/07/2018,Varies with device,Varies with device,0.565437038,0.642611540
Garmin Connect,21.64,232153,HEALTH_AND_FITNESS,3.9,10000000,Free,Everyone,Health & Fitness,02/08/2018,Varies with device,Varies with device,0.154809930,0.485423476
EnglishMyanmar Dictionary,10,8788,BOOKS_AND_REFERENCE,4.4,1000000,Free,Everyone,Books & Reference,28/07/2018,2.5.3,4.0 and up,0.393513424,0.402192650
Beautiful Widgets Free,14,25035,PERSONALIZATION,3.9,1000000,Free,Everyone,Personalization,20/10/2016,5.7.6,2.3 and up,0.013460701,0.522292403
Beautiful Widgets Free,14,25037,PERSONALIZATION,3.9,1000000,Free,Everyone,Personalization,20/10/2016,5.7.6,2.3 and up,0.013460701,0.522292403
Barclays US for Android,24,6998,FINANCE,4.1,1000000,Free,Everyone,Finance,01/08/2018,6.29.37589,5.0 and up,0.017928004,0.412554188
Airport Flight Tracker Radar,8.5,6762,TRAVEL_AND_LOCAL,4.2,1000000,Free,Everyone,Travel & Local,14/07/2015,8,4.0 and up,0.089284812,0.424532828
CDL Practice Test 2018 Edition,17,7774,AUTO_AND_VEHICLES,4.9,100000,Free,Everyone,Auto & Vehicles,03/07/2018,1.7,4.2 and up,0.241125992,0.477825176
BBW Dating Plus Size Chat,29,12632,DATING,4.4,1000000,Free,Mature 17+,Dating,27/07/2018,3.5.0.1,4.1 and up,0.131246685,0.491016755
BBW Dating Plus Size Chat,29,12633,DATING,4.4,1000000,Free,Mature 17+,Dating,27/07/2018,3.5.0.1,4.1 and up,0.131246685,0.491016755
FOX NOW On Demand Live TV,22.64,60841,ENTERTAINMENT,3.9,5000000,Free,Teen,Entertainment,26/07/2018,Varies with device,4.4 and up,0.048090236,0.492022846
DU Recorder Screen Recorder Video Editor Live,9.7,2588730,VIDEO_PLAYERS,4.8,50000000,Free,Everyone,Video Players & Editors,30/07/2018,1.7.1.3,5.0 and up,0.224186917,0.524684219
Easy Healthy Recipes,7.2,278,FOOD_AND_DRINK,4.1,50000,Free,Everyone,Food & Drink,20/07/2018,24.5.0,4.0 and up,0.445762474,0.589349530
GMX Mail,11.66,258556,COMMUNICATION,4.3,10000000,Free,Everyone,Communication,25/07/2018,Varies with device,Varies with device,0.340047078,0.540739802
ASUS Quick Memo,1.6,23089,PRODUCTIVITY,4.5,10000000,Free,Everyone,Productivity,11/04/2018,1.10.0.33_180403,5.0 - 8.0,0.029166667,0.333333333
Baby Panda Learns Shapes,42,3789,PARENTING,4,1000000,Free,Everyone,Parenting;Education,21/06/2018,8.25.10.00,4.0.3 and up,0.247537001,0.357194337
Amazon FreeTime Kids Videos Books TV shows,24,2715,PARENTING,4.2,500000,Free,Everyone,Parenting;Music & Video,24/07/2018,FreeTimeApp-aosp_v3.14_Build-1.0.204367.0.13014,5.0 and up,0.342534825,0.508082564
Curriculum vitae App CV Builder Free Resume Maker,3.9,4571,BUSINESS,4.5,500000,Free,Everyone,Business,08/07/2018,3.3,4.1 and up,0.393703482,0.498035904
Curriculum vitae App CV Builder Free Resume Maker,3.9,4458,BUSINESS,4.5,500000,Free,Everyone,Business,08/07/2018,3.3,4.1 and up,0.393703482,0.498035904
File Manager,8.77,739329,TOOLS,4.6,50000000,Free,Everyone,Tools,17/04/2018,Varies with device,Varies with device,0.061832817,0.313300046
Google News,13,877643,NEWS_AND_MAGAZINES,3.9,1000000000,Free,Teen,News & Magazines,01/08/2018,5.2.0,4.4 and up,0.093916740,0.496775601
Google News,13,877635,NEWS_AND_MAGAZINES,3.9,1000000000,Free,Teen,News & Magazines,01/08/2018,5.2.0,4.4 and up,0.093916740,0.496775601
Google News,13,878065,NEWS_AND_MAGAZINES,3.9,1000000000,Free,Teen,News & Magazines,01/08/2018,5.2.0,4.4 and up,0.093916740,0.496775601
FastMeet Chat Dating Love,5.9,22544,DATING,4.2,1000000,Free,Mature 17+,Dating,27/07/2018,1.31.4,4.0.3 and up,0.344173401,0.517343434
FastMeet Chat Dating Love,5.9,22545,DATING,4.2,1000000,Free,Mature 17+,Dating,27/07/2018,1.31.4,4.0.3 and up,0.344173401,0.517343434
Dominos Game,16,2903,FAMILY,4.1,1000000,Free,Everyone,Board;Brain Games,05/07/2018,5.2,4.1 and up,0.023215534,0.332925130
Flashlight HD LED,8.77,618918,TOOLS,4.3,50000000,Free,Everyone,Tools,28/07/2018,Varies with device,Varies with device,0.452203998,0.640651714
Beauty Camera Selfie Camera,13.8,113715,BEAUTY,4,10000000,Free,Everyone,Beauty,03/08/2017,Varies with device,Varies with device,0.199993662,0.450820106
FamilySearch Tree,17,17506,BOOKS_AND_REFERENCE,4.3,1000000,Free,Everyone,Books & Reference,20/07/2018,2.3.18,4.1 and up,0.209325830,0.435825958
FIFA Tournaments Soccer News Live Scores,6,342909,SPORTS,4.2,10000000,Free,Everyone,Sports,03/08/2018,4.3.1,4.4 and up,0.068258223,0.442776745
FIFA Tournaments Soccer News Live Scores,6,342912,SPORTS,4.2,10000000,Free,Everyone,Sports,03/08/2018,4.3.1,4.4 and up,0.068258223,0.442776745
Choices Stories You Play,93,807338,GAME,4.6,10000000,Free,Teen,Simulation,30/07/2018,2.3.5,4.0.3 and up,0.033678402,0.526328374
Choices Stories You Play,93,807155,FAMILY,4.6,10000000,Free,Teen,Simulation,30/07/2018,2.3.5,4.0.3 and up,0.033678402,0.526328374
Air Traffic,6.8,14110,MAPS_AND_NAVIGATION,4.3,1000000,Free,Everyone,Maps & Navigation,24/07/2018,4.3,5.0 and up,0.294640746,0.485969517
Anger of stick 5 zombie,23,549039,GAME,4.5,50000000,Free,Teen,Action,03/08/2018,1.1.5,2.3 and up,0.119444444,0.502777778
Anger of stick 5 zombie,23,547644,GAME,4.5,50000000,Free,Teen,Action,03/08/2018,1.1.5,2.3 and up,0.119444444,0.502777778
GO Keyboard Emoticon keyboard Free Theme GIF,11.29,2591941,PERSONALIZATION,4.4,100000000,Free,Everyone,Personalization,20/07/2018,Varies with device,Varies with device,0.307440422,0.502509237
GO Keyboard Emoticon keyboard Free Theme GIF,11.29,2591610,PERSONALIZATION,4.4,100000000,Free,Everyone,Personalization,20/07/2018,Varies with device,Varies with device,0.307440422,0.502509237
HD Camera Best Cam with filters panorama,9.7,38953,PHOTOGRAPHY,4.5,5000000,Free,Everyone,Photography,26/07/2018,2.2.4,4.2 and up,0.223379630,0.5875
CallApp Caller ID Blocker Phone Call Recorder,20,483565,COMMUNICATION,4.4,10000000,Free,Everyone,Communication,29/07/2018,1.286,4.1 and up,0.390740741,0.506481481
CallApp Caller ID Blocker Phone Call Recorder,20,483782,COMMUNICATION,4.4,10000000,Free,Everyone,Communication,29/07/2018,1.286,4.1 and up,0.390740741,0.506481481
HelloTalk Chat Speak Learn Foreign Languages,41,84309,EDUCATION,4.4,5000000,Free,Everyone,Education,25/07/2018,2.6.6,4.1 and up,0.202326389,0.653055556
HelloTalk Chat Speak Learn Foreign Languages,41,84311,EDUCATION,4.4,5000000,Free,Everyone,Education,25/07/2018,2.6.6,4.1 and up,0.202326389,0.653055556
Fraction Calculator Plus Free,11,148506,TOOLS,4.5,5000000,Free,Everyone,Tools,15/07/2018,Varies with device,Varies with device,0.372640925,0.562034865
GPS Map Free,7.6,33782,TRAVEL_AND_LOCAL,4,5000000,Free,Everyone,Travel & Local,11/07/2018,4.6,4.0 and up,0.7,0.6
Hamilton The Official App,43,1575,ENTERTAINMENT,4.5,100000,Free,Everyone,Entertainment,13/07/2018,2.3.2,5.0 and up,0.161047232,0.436143532
ChatVideo Meet new people,20,63986,DATING,4.2,5000000,Free,Mature 17+,Dating,31/05/2018,3.0.15,4.0 and up,0.231919826,0.393007634
Etta Homes,15,220,LIFESTYLE,4.2,50000,Free,Everyone,Lifestyle,26/07/2018,9.1.0,5.0 and up,0.344622507,0.495779915
Amino Communities and Chats,62,1259075,SOCIAL,4.8,10000000,Free,Teen,Social,20/07/2018,1.8.19179,4.0.3 and up,0.047589604,0.537536125
Amino Communities and Chats,62,1264084,SOCIAL,4.8,10000000,Free,Teen,Social,07/08/2018,1.8.19179,4.0.3 and up,0.047589604,0.537536125
Herpes Dating 1000K Singles,27,738,DATING,4,10000,Free,Mature 17+,Dating,01/08/2018,6.4.1,4.1 and up,0.174108304,0.467946115
Calorie Counter EasyFit free,11,50294,HEALTH_AND_FITNESS,4.7,1000000,Free,Everyone,Health & Fitness,09/07/2018,3.0.7,4.1 and up,0.348028718,0.536983510
BBM Free Calls Messages,11.66,12842860,COMMUNICATION,4.3,100000000,Free,Everyone,Communication,02/08/2018,Varies with device,4.0.3 and up,0.154423252,0.461890452
BBM Free Calls Messages,11.66,12843436,COMMUNICATION,4.3,100000000,Free,Everyone,Communication,02/08/2018,Varies with device,4.0.3 and up,0.154423252,0.461890452
Bathroom Decorating Ideas,5.3,2427,HOUSE_AND_HOME,4.1,500000,Free,Everyone,House & Home,12/03/2015,1.4,3.0 and up,0.362675781,0.511545455
Fishdom,44.13,2157930,GAME,4.6,10000000,Free,Everyone,Puzzle,19/07/2018,2.21.5,4.0.3 and up,0.059514849,0.563510531
Fishdom,44.13,2158580,GAME,4.6,10000000,Free,Everyone,Puzzle,19/07/2018,2.21.5,4.0.3 and up,0.059514849,0.563510531
